frame,num_detected,detected_ids,image,debug_image,route_x,route_y,route_z,route_roll,route_pitch,route_yaw
106,2,10;12,results/bus_real_data/04_moving_camera_sequence_run2/images/frame_0106.png,results/bus_real_data/04_moving_camera_sequence_run2/debug_images/frame_0106_debug.png,4.4,0.0,2.2,0.0,0.5599999999999999,-8.9
107,1,10,results/bus_real_data/04_moving_camera_sequence_run2/images/frame_0107.png,results/bus_real_data/04_moving_camera_sequence_run2/debug_images/frame_0107_debug.png,4.466666666666667,0.0,2.2,0.0,0.5533333333333333,-9.0
108,1,10,results/bus_real_data/04_moving_camera_sequence_run2/images/frame_0108.png,results/bus_real_data/04_moving_camera_sequence_run2/debug_images/frame_0108_debug.png,4.533333333333333,0.0,2.2,0.0,0.5466666666666666,-9.100000000000001
109,1,10,results/bus_real_data/04_moving_camera_sequence_run2/images/frame_0109.png,results/bus_real_data/04_moving_camera_sequence_run2/debug_images/frame_0109_debug.png,4.6,0.0,2.2,0.0,0.54,-9.200000000000001
110,1,10,results/bus_real_data/04_moving_camera_sequence_run2/images/frame_0110.png,results/bus_real_data/04_moving_camera_sequence_run2/debug_images/frame_0110_debug.png,4.666666666666667,0.0,2.2,0.0,0.5333333333333333,-9.3
111,2,9;10,results/bus_real_data/04_moving_camera_sequence_run2/images/frame_0111.png,results/bus_real_data/04_moving_camera_sequence_run2/debug_images/frame_0111_debug.png,4.733333333333333,0.0,2.2,0.0,0.5266666666666666,-9.4
112,3,9;10;11,results/bus_real_data/04_moving_camera_sequence_run2/images/frame_0112.png,results/bus_real_data/04_moving_camera_sequence_run2/debug_images/frame_0112_debug.png,4.8,0.0,2.2,0.0,0.52,-9.5
113,2,10;11,results/bus_real_data/04_moving_camera_sequence_run2/images/frame_0113.png,results/bus_real_data/04_moving_camera_sequence_run2/debug_images/frame_0113_debug.png,4.866666666666667,0.0,2.2,0.0,0.5133333333333333,-9.600000000000001
114,2,9;10,results/bus_real_data/04_moving_camera_sequence_run2/images/frame_0114.png,results/bus_real_data/04_moving_camera_sequence_run2/debug_images/frame_0114_debug.png,4.933333333333334,0.0,2.2,0.0,0.5066666666666667,-9.700000000000001
115,3,9;11;13,results/bus_real_data/04_moving_camera_sequence_run2/images/frame_0115.png,results/bus_real_data/04_moving_camera_sequence_run2/debug_images/frame_0115_debug.png,5.0,0.0,2.2,0.0,0.5,-9.8
